id,q1,q2,q3,q4,q5,q6,q7,q8,BLOCK,choiceid,ALT,SELECT,choice,ASC,big.loss,small.loss,small.gain,big.gain,state,municipal,private,cooperative,mi1,mi4,mi8,mi10,bill,STR,white,female,age,univ_degr,income,wages,self-emp,pol_dem,pol_ind,pol_rep,coast_rec,mean_nep,mean_rel,mean_met,mean_inst,mean_mor,att_w_US,oper,const_st,wf_rec,sup,opp,dis,skep,int,af,con,cur,ap,enth,app,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,extract_r_ins,loss_r_ins,decade_r_mor,comm_rel,wild_rel,clean_inst,tech,tech_r,iden_rel,kin_rel,right_r_mor,health_rel,other_rel,kin_met,resp_met,iden_met,other_met
1,1,2,2,2,1,1,1,2,1,1,1,1,TRUE,1,0,0,1,0,1,0,0,0,1,0,0,0,1,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,1,2,1,FALSE,1,0,1,0,0,0,0,1,0,0,0,1,0,5,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,1,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,2,1,2,FALSE,1,0,1,0,0,0,0,0,1,0,0,1,0,1,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,2,2,2,TRUE,1,0,0,1,0,0,1,0,0,1,0,0,0,5,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,2,3,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,3,1,2,FALSE,1,1,0,0,0,0,1,0,0,0,1,0,0,5,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,3,2,2,TRUE,1,0,1,0,0,1,0,0,0,1,0,0,0,10,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,3,3,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,4,1,2,FALSE,1,1,0,0,0,0,0,0,1,1,0,0,0,5,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,4,2,2,TRUE,1,0,0,1,0,0,0,1,0,0,1,0,0,10,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,4,3,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,5,1,1,TRUE,1,0,0,0,1,1,0,0,0,1,0,0,0,1,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,5,2,1,FALSE,1,0,0,1,0,0,0,1,0,0,1,0,0,5,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,5,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,6,1,1,TRUE,1,0,1,0,0,0,1,0,0,1,0,0,0,5,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,6,2,1,FALSE,1,1,0,0,0,1,0,0,0,0,1,0,0,1,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,6,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,7,1,1,TRUE,1,0,0,0,1,0,0,1,0,1,0,0,0,10,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,7,2,1,FALSE,1,1,0,0,0,0,1,0,0,0,0,0,1,5,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,7,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,8,1,2,FALSE,1,0,1,0,0,0,0,0,1,0,1,0,0,5,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,8,2,2,TRUE,1,0,0,1,0,0,1,0,0,0,0,1,0,1,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,2,2,1,1,1,2,1,8,3,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,1,1,1,TRUE,1,0,0,1,0,1,0,0,0,1,0,0,0,1,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,1,2,1,FALSE,1,0,1,0,0,0,0,1,0,0,0,1,0,5,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,1,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,2,1,2,FALSE,1,0,1,0,0,0,0,0,1,0,0,1,0,1,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,2,2,2,TRUE,1,0,0,1,0,0,1,0,0,1,0,0,0,5,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,2,3,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,3,1,1,TRUE,1,1,0,0,0,0,1,0,0,0,1,0,0,5,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,3,2,1,FALSE,1,0,1,0,0,1,0,0,0,1,0,0,0,10,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,3,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,4,1,2,FALSE,1,1,0,0,0,0,0,0,1,1,0,0,0,5,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,4,2,2,TRUE,1,0,0,1,0,0,0,1,0,0,1,0,0,10,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,4,3,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,5,1,1,TRUE,1,0,0,0,1,1,0,0,0,1,0,0,0,1,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,5,2,1,FALSE,1,0,0,1,0,0,0,1,0,0,1,0,0,5,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,5,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,6,1,1,TRUE,1,0,1,0,0,0,1,0,0,1,0,0,0,5,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,6,2,1,FALSE,1,1,0,0,0,1,0,0,0,0,1,0,0,1,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,6,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,7,1,1,TRUE,1,0,0,0,1,0,0,1,0,1,0,0,0,10,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,7,2,1,FALSE,1,1,0,0,0,0,1,0,0,0,0,0,1,5,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,7,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,8,1,2,FALSE,1,0,1,0,0,0,0,0,1,0,1,0,0,5,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,8,2,2,TRUE,1,0,0,1,0,0,1,0,0,0,0,1,0,1,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,1,2,1,1,1,2,1,8,3,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,2,2,1,1,1,2,1,1,1,1,TRUE,1,0,0,1,0,1,0,0,0,1,0,0,0,1,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,2,2,1,1,1,2,1,1,2,1,FALSE,1,0,1,0,0,0,0,1,0,0,0,1,0,5,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,2,2,1,1,1,2,1,1,3,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,2,2,1,1,1,2,1,2,1,2,FALSE,1,0,1,0,0,0,0,0,1,0,0,1,0,1,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,2,2,1,1,1,2,1,2,2,2,TRUE,1,0,0,1,0,0,1,0,0,1,0,0,0,5,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,2,2,1,1,1,2,1,2,3,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,2,2,1,1,1,2,1,3,1,2,FALSE,1,1,0,0,0,0,1,0,0,0,1,0,0,5,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,2,2,1,1,1,2,1,3,2,2,TRUE,1,0,1,0,0,1,0,0,0,1,0,0,0,10,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,2,2,1,1,1,2,1,3,3,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
